timestamp,extinctions,pop,births,deaths,avg_size,avg_speed,avg_vision,max_lineage,max_age,max_energy,food_count,poison_count,radiation,day_cycle,epoch_age_sec
2026-09-23T03:16:47.910Z,0,23,3,0,1.290,1.600,85.0,1,12,185.2,106,40,0,0.64,0
2026-09-23T03:17:22.928Z,1,25,23,38,1.360,1.700,92.6,2,18,183.9,105,34,12,0.14,35
2026-09-23T03:18:09.109Z,2,30,66,96,1.330,1.620,88.3,2,13,182.0,105,38,13,0.79,81
2026-09-23T03:18:41.164Z,3,27,111,164,1.230,1.960,90.5,2,26,177.0,111,33,11,0.30,113
2026-09-23T03:19:27.340Z,4,30,165,235,1.220,1.820,95.5,1,17,181.5,110,33,11,0.02,160
2026-09-23T03:20:51.723Z,5,24,405,501,1.280,1.780,73.9,2,32,177.1,106,40,10,0.82,244
2026-09-23T03:21:25.823Z,6,25,439,554,1.290,1.610,98.3,1,28,94.0,115,33,10,0.05,278
2026-09-23T03:22:03.917Z,7,28,462,594,1.170,2.170,97.2,2,20,182.7,123,22,10,0.96,316
2026-09-23T03:22:34.024Z,8,21,487,646,1.450,1.770,92.2,1,33,203.3,100,45,10,0.04,346
2026-09-23T03:23:08.221Z,9,23,502,679,1.330,1.780,95.2,1,14,156.7,111,37,9,0.83,380
2026-09-23T03:23:58.362Z,10,22,526,724,1.600,1.550,95.4,1,15,100.2,110,37,12,0.99,431
2026-09-23T03:25:00.521Z,11,25,543,758,1.340,1.610,89.3,1,16,184.5,118,26,10,1.00,493
2026-09-23T03:25:36.706Z,12,20,567,807,1.720,1.700,90.5,1,19,188.6,108,39,11,0.11,529
2026-09-23T03:26:38.951Z,13,26,587,841,1.180,1.560,97.3,1,14,185.6,97,50,12,0.20,591
2026-09-23T03:27:07.022Z,14,26,603,877,1.200,1.800,89.7,2,10,97.5,115,33,12,0.88,619
2026-09-23T03:27:51.334Z,15,24,642,938,1.470,1.710,79.2,1,11,186.6,108,39,12,0.80,664
2026-09-23T03:28:39.388Z,16,27,665,978,1.230,2.150,90.8,3,28,179.8,108,37,13,0.22,712
2026-09-23T03:29:15.959Z,17,24,686,1022,1.380,1.820,104.7,1,23,181.0,104,34,11,0.46,748
2026-09-23T03:29:55.751Z,18,25,720,1075,1.420,1.680,76.3,1,13,183.9,117,32,13,0.95,788
