timestamp,gen,pop,births,deaths,food,poison,max_lineage,avg_size,avg_speed,avg_connects,max_age,max_energy,season,avg_immunity,avg_insulation,infected_pop,avg_chloroplast,avg_scavenger,avg_carnivore,fertilizer
2026-09-17T04:22:37.875Z,0,600,200,0,1001,91,1,1.473,1.736,3.1,2,668.7,0,0.496,0.484,0,0.004,0.004,0.004,25205.9
2026-09-17T04:31:28.936Z,1,600,1707,1907,1023,178,1,1.491,1.755,2.9,1,936.2,0,0.517,0.501,0,0.004,0.003,0.003,18752.4
2026-09-17T04:35:07.104Z,0,600,200,0,994,100,1,1.475,1.699,3.0,2,632.2,0,0.471,0.492,0,0.005,0.004,0.004,25749.2
2026-09-17T04:36:21.400Z,1,600,412,612,981,118,1,1.512,1.716,3.0,2,697.6,0,0.505,0.488,0,0.004,0.005,0.004,23940.8
2026-09-17T04:39:56.033Z,2,600,618,1218,1020,176,1,1.471,1.741,3.1,1,980.9,0,0.518,0.500,0,0.005,0.004,0.004,20431.1
2026-09-17T04:41:16.348Z,3,600,827,1827,1023,51,1,1.478,1.705,3.1,3,695.4,0,0.511,0.475,0,0.004,0.004,0.004,26727.9
2026-09-17T04:50:26.458Z,4,400,1153,2753,1125,375,0,1.537,1.766,3.0,0,1000.0,0,0.463,0.507,0,0.000,0.000,0.000,10000.0
2026-09-17T04:54:16.177Z,5,400,1402,3402,1098,402,0,1.535,1.748,3.1,0,1000.0,0,0.493,0.462,0,0.000,0.000,0.000,10000.0
2026-09-17T04:55:18.677Z,6,400,1606,4006,1143,357,0,1.560,1.678,3.0,0,1000.0,0,0.476,0.489,0,0.000,0.000,0.000,10000.0
2026-09-17T05:05:18.733Z,6,24,4547,7323,381,0,32,0.583,1.718,5.1,4662,154.9,0,0.329,0.834,0,0.152,0.046,0.042,16.2
2026-09-17T05:09:36.877Z,7,400,4785,7585,1096,404,0,1.488,1.696,3.0,0,1000.0,0,0.499,0.511,0,0.000,0.000,0.000,10000.0
2026-09-17T05:17:34.026Z,8,600,5818,8818,997,96,1,1.521,1.768,3.0,2,643.1,0,0.513,0.482,0,0.004,0.004,0.005,25021.2
2026-09-17T05:18:45.656Z,9,600,6021,9421,999,103,1,1.472,1.754,3.0,2,634.6,0,0.497,0.501,0,0.005,0.004,0.004,24480.4
2026-09-17T05:23:49.289Z,10,600,6278,10078,985,105,1,1.507,1.829,3.1,2,660.7,0,0.492,0.506,0,0.004,0.004,0.004,25447.5
2026-09-17T05:33:49.331Z,10,72,6501,10829,989,0,7,1.932,1.113,5.4,12230,528.5,2,0.527,0.490,0,0.024,0.037,0.029,1813.7
2026-09-17T05:37:41.986Z,11,400,6547,10947,1123,377,0,1.471,1.800,3.0,0,1000.0,0,0.480,0.514,0,0.000,0.000,0.000,10000.0
2026-09-17T05:38:47.142Z,12,400,6755,11555,1156,344,0,1.532,1.817,3.0,0,1000.0,0,0.493,0.503,0,0.000,0.000,0.000,10000.0
2026-09-17T05:45:49.148Z,13,600,8088,13088,1007,100,1,1.483,1.762,3.0,2,660.6,0,0.507,0.515,0,0.004,0.004,0.004,24604.6
2026-09-17T05:46:52.708Z,14,600,8294,13694,998,191,1,1.467,1.753,3.1,1,937.6,0,0.515,0.531,0,0.005,0.004,0.004,20073.2
2026-09-17T05:48:28.335Z,15,600,8508,14308,1020,193,1,1.458,1.756,3.2,1,901.8,0,0.486,0.491,0,0.004,0.004,0.004,19469.3
2026-09-17T05:58:28.351Z,15,4,8895,15291,493,0,12,2.035,1.700,8.0,6128,553.8,2,0.093,0.984,0,0.038,0.006,0.002,19.8
2026-09-17T06:01:53.124Z,16,400,8904,15304,1166,334,0,1.476,1.801,3.0,0,1000.0,0,0.490,0.512,0,0.000,0.000,0.000,10000.0
